sondeur,source,date début,date fin,échantillon,Anne Hidalgo,Arnaud Montebourg,Christiane Taubira,Emmanuel Macron,Fabien Roussel,Jean Lassalle,Jean-Luc Mélenchon,Marine Le Pen,Nathalie Arthaud,Nicolas Dupont-Aignan,Philippe Poutou,Valérie Pécresse,Yannick Jadot,Éric Zemmour
Opinion Way,Opinion Way pour VSD,2021-12-21,2021-12-22,1048,4,1,3,26,2,1,8,16,0,2,1,18,6,12
Ipsos,"Ipsos pour Le Parisien, France Info",2022-01-05,2022-01-06,780,3,1,3,25.5,2,1,9,17,1,1.5,1,16,7,12
