sondeur,source,date début,date fin,échantillon,Anne Hidalgo,Arnaud Montebourg,Christiane Taubira,Emmanuel Macron,Fabien Roussel,Florian Philippot,François Asselineau,Jean Lassalle,Jean-Luc Mélenchon,Marine Le Pen,Nathalie Arthaud,Nicolas Dupont-Aignan,Philippe Poutou,Valérie Pécresse,Yannick Jadot,Éric Zemmour
Cluster17,Cluster17,2021-12-19,2021-12-22,1466,2,1.5,7,20,1.5,1,1,1,12,13,0.5,2,1.5,16,5,14
Cluster17,Cluster17 pour Marianne,2021-12-27,2021-12-31,2252,2,1.5,4.5,23,1.5,1,1,1,13,14.5,0.5,1.5,1.0,15,4,15
